Canada,222,283
United States of America,225,295
Brazil,286,463
United Kingdom,384,265
France,391,278
Germany,408,270
Italy,416,285
Egypt,455,335
South Africa,452,486
Kenya,472,416
India,553,361
Singapore,629,414
Russia,460,252
Japan,699,317
Australia,648,498
China,644,305
Hong Kong,646,351
UAE,511,348
Nigeria,396,397
Argentina,256,514
